gene	seq	b.status.final
g15505	scaffold_29	A
g15506	scaffold_29	A
g15507	scaffold_29	A
g15508	scaffold_29	A
g15509	scaffold_29	A
g1551	scaffold_721	A
g15510	scaffold_29	A
g15511	scaffold_29	A
g15512	scaffold_29	A
g15513	scaffold_29	A
g15514	scaffold_29	A
g15515	scaffold_29	A
g15516	scaffold_29	A
g15517	scaffold_29	A
g15518	scaffold_29	A
g15519	scaffold_29	A
g1552	scaffold_721	A
g15520	scaffold_29	A
g15521	scaffold_29	A
g15522	scaffold_29	A
g15523	scaffold_29	A
g15524	scaffold_1202	A
g15525	scaffold_1202	A
g15526	scaffold_1202	A
g15527	scaffold_1202	A
g15528	scaffold_1202	A
g15529	scaffold_166	A
g1553	scaffold_1622	A
g15530	scaffold_166	A
g15531	scaffold_166	A
g15532	scaffold_166	A
g15533	scaffold_166	A
g15534	scaffold_166	A
g15535	scaffold_166	A
g15536	scaffold_166	A
g15537	scaffold_166	A
g15538	scaffold_166	A
g15539	scaffold_166	A
g1554	scaffold_206	A
g15540	scaffold_166	A
g15541	scaffold_166	A
g15542	scaffold_166	A
g15543	scaffold_166	A
g15544	scaffold_166	A
g15545	scaffold_166	A
g15546	scaffold_166	A
g15547	scaffold_166	A
g15548	scaffold_166	A
g15549	scaffold_166	A
g1555	scaffold_206	A
g15550	scaffold_166	A
g15551	scaffold_166	A
g15552	scaffold_166	A
g15553	scaffold_166	A
g15554	scaffold_166	A
g15555	scaffold_166	A
g15556	scaffold_166	A
g15557	scaffold_166	A
g15558	scaffold_166	A
g15559	scaffold_166	A
g1556	scaffold_206	A
g15560	scaffold_166	A
g15561	scaffold_166	A
g15562	scaffold_166	A
g15563	scaffold_166	A
g15564	scaffold_166	A
g15565	scaffold_166	A
g15566	scaffold_166	A
g15567	scaffold_166	A
g15568	scaffold_166	A
g15569	scaffold_166	A
g1557	scaffold_206	A
g15570	scaffold_166	A
g15571	scaffold_166	A
g15572	scaffold_166	A
g15573	scaffold_166	A
g15574	scaffold_166	A
g15575	scaffold_166	A
g15576	scaffold_166	A
g15577	scaffold_166	A
g15578	scaffold_166	A
g15579	scaffold_166	A
g1558	scaffold_206	A
g15580	scaffold_166	A
g15581	scaffold_166	A
g15582	scaffold_166	A
g15583	scaffold_166	A
g15584	scaffold_166	A
g15585	scaffold_166	A
g15586	scaffold_166	A
g15587	scaffold_166	A
g15588	scaffold_166	A
g15589	scaffold_166	A
g1559	scaffold_206	A
g15590	scaffold_166	A
g15591	scaffold_166	A
g15592	scaffold_1292	A
g15593	scaffold_1422	A
g15594	scaffold_21	A
g15595	scaffold_21	A
g15596	scaffold_21	A
g15597	scaffold_21	A
g15598	scaffold_21	A
g15599	scaffold_21	A
g156	scaffold_360	B-A
g1560	scaffold_206	A
g15600	scaffold_21	A
g15601	scaffold_21	A
g15602	scaffold_21	A
g15603	scaffold_21	A
g15604	scaffold_21	A
g15605	scaffold_21	A
g15606	scaffold_21	A
g15607	scaffold_21	A
g15608	scaffold_21	A
g15609	scaffold_21	A
g1561	scaffold_206	A
g15610	scaffold_21	A
g15611	scaffold_21	A
g15612	scaffold_21	A
g15613	scaffold_21	A
g15614	scaffold_21	A
g15615	scaffold_21	A
g15616	scaffold_21	A
g15617	scaffold_21	A
g15618	scaffold_21	A
g15619	scaffold_21	A
g1562	scaffold_206	A
g15620	scaffold_21	A
g15621	scaffold_21	A
g15622	scaffold_21	A
g15623	scaffold_21	A
g15624	scaffold_21	A
g15625	scaffold_21	A
g15626	scaffold_21	A
g15627	scaffold_21	A
g15628	scaffold_21	A
g15629	scaffold_21	A
g1563	scaffold_206	A
g15630	scaffold_21	A
g15631	scaffold_21	A
g15632	scaffold_21	A
g15633	scaffold_21	A
g15634	scaffold_21	A
g15635	scaffold_21	A
g15636	scaffold_21	A
g15637	scaffold_21	A
g15638	scaffold_21	A
g15639	scaffold_21	A
g1564	scaffold_206	A
g15640	scaffold_21	A
g15641	scaffold_21	A
g15642	scaffold_21	A
g15643	scaffold_21	A
g15644	scaffold_21	A
g15645	scaffold_21	A
g15646	scaffold_21	A
g15647	scaffold_21	A
g15648	scaffold_21	A
g15649	scaffold_21	A
g1565	scaffold_206	A
g15650	scaffold_21	A
g15651	scaffold_21	A
g15652	scaffold_21	A
g15653	scaffold_21	A
g15654	scaffold_21	A
g15655	scaffold_21	A
g15656	scaffold_21	A
g15657	scaffold_21	A
g15658	scaffold_21	A
g15659	scaffold_21	A
g1566	scaffold_206	A
g15660	scaffold_21	A
g15661	scaffold_21	A
g15662	scaffold_21	A
g15663	scaffold_21	A
g15664	scaffold_21	A
g15665	scaffold_21	A
g15666	scaffold_21	A
g15667	scaffold_674	A
g15668	scaffold_674	A
g15669	scaffold_674	A
g1567	scaffold_206	A
g15670	scaffold_674	A
g15671	scaffold_674	A
g15672	scaffold_674	A
g15673	scaffold_674	A
g15674	scaffold_674	A
g15675	scaffold_674	A
g15676	scaffold_674	A
g15677	scaffold_674	A
g15678	scaffold_674	A
g15679	scaffold_674	A
g1568	scaffold_206	A
g15680	scaffold_600	A
g15681	scaffold_600	A
g15682	scaffold_600	A
g15683	scaffold_600	A
g15684	scaffold_600	A
g15685	scaffold_600	A
g15686	scaffold_600	A
g15687	scaffold_600	A
g15688	scaffold_600	A
g15689	scaffold_600	A
g1569	scaffold_206	A
g15690	scaffold_600	A
g15691	scaffold_600	A
g15692	scaffold_600	A
g15693	scaffold_600	A
g15694	scaffold_600	A
g15695	scaffold_493	A
g15696	scaffold_493	A
g15697	scaffold_493	A
g15698	scaffold_493	A
g15699	scaffold_493	A
g157	scaffold_360	B-A
g1570	scaffold_206	A
g15700	scaffold_493	A
g15701	scaffold_493	A
g15702	scaffold_493	A
g15703	scaffold_493	A
g15704	scaffold_493	A
g15705	scaffold_493	A
g15706	scaffold_493	A
g15707	scaffold_493	A
g15708	scaffold_59	A
g15709	scaffold_59	A
g1571	scaffold_206	A
g15710	scaffold_59	A
g15711	scaffold_59	A
g15712	scaffold_59	A
g15713	scaffold_59	A
g15714	scaffold_59	A
g15715	scaffold_59	A
g15716	scaffold_59	A
g15717	scaffold_59	A
g15718	scaffold_59	A
g15719	scaffold_59	A
g1572	scaffold_206	A
g15720	scaffold_59	A
g15721	scaffold_59	A
g15722	scaffold_59	A
g15723	scaffold_59	A
g15724	scaffold_59	A
g15725	scaffold_59	A
g15726	scaffold_59	A
g15727	scaffold_59	A
g15728	scaffold_59	A
g15729	scaffold_59	A
g1573	scaffold_206	A
g15730	scaffold_59	A
g15731	scaffold_59	A
g15732	scaffold_59	A
g15733	scaffold_59	A
g15734	scaffold_59	A
g15735	scaffold_59	A
g15736	scaffold_59	A
g15737	scaffold_59	A
g15738	scaffold_59	A
g15739	scaffold_59	A
g1574	scaffold_206	A
g15740	scaffold_59	A
g15741	scaffold_59	A
g15742	scaffold_59	A
g15743	scaffold_59	A
g15744	scaffold_59	A
g15745	scaffold_59	A
g15746	scaffold_59	A
g15747	scaffold_59	A
g15748	scaffold_59	A
g15749	scaffold_59	A
g1575	scaffold_206	A
g15750	scaffold_59	A
g15751	scaffold_59	A
g15752	scaffold_59	A
g15753	scaffold_59	A
g15754	scaffold_59	A
g15755	scaffold_59	A
g15756	scaffold_59	A
g15757	scaffold_59	A
g15758	scaffold_59	A
g15759	scaffold_59	A
g1576	scaffold_206	A
g15760	scaffold_59	A
g15761	scaffold_59	A
g15762	scaffold_59	A
g15763	scaffold_59	A
g15764	scaffold_59	A
g15765	scaffold_59	A
g15766	scaffold_59	A
g15767	scaffold_59	A
g15768	scaffold_59	A
g15769	scaffold_59	A
g1577	scaffold_206	A
g15770	scaffold_59	A
g15771	scaffold_59	A
g15772	scaffold_59	A
g15773	scaffold_59	A
g15774	scaffold_59	A
g15775	scaffold_59	A
g15776	scaffold_59	A
g15777	scaffold_59	A
g15778	scaffold_59	A
g15779	scaffold_59	A
g1578	scaffold_206	A
g15780	scaffold_59	A
g15781	scaffold_59	A
g15782	scaffold_59	A
g15783	scaffold_59	A
g15784	scaffold_59	A
g15785	scaffold_59	A
g15786	scaffold_59	A
g15787	scaffold_59	A
g15788	scaffold_59	A
g15789	scaffold_59	A
g1579	scaffold_206	A
g15790	scaffold_59	A
g15791	scaffold_59	A
g15792	scaffold_59	A
g15793	scaffold_747	A
g15794	scaffold_747	A
g15795	scaffold_747	A
g15796	scaffold_747	A
g15797	scaffold_1906	A
g15798	scaffold_1906	A
g15799	scaffold_505	A
g158	scaffold_360	B-A
g1580	scaffold_206	A
g15800	scaffold_505	A
g15801	scaffold_505	A
g15802	scaffold_505	A
g15803	scaffold_505	A
g15804	scaffold_505	A
g15805	scaffold_505	A
g15806	scaffold_505	A
g15807	scaffold_505	A
g15808	scaffold_1411	A
g15809	scaffold_182	A
g1581	scaffold_206	A
g15810	scaffold_182	A
g15811	scaffold_182	A
g15812	scaffold_182	A
g15813	scaffold_182	A
g15814	scaffold_182	A
g15815	scaffold_182	A
g15816	scaffold_182	A
g15817	scaffold_182	A
g15818	scaffold_182	A
g15819	scaffold_182	A
g1582	scaffold_206	A
g15820	scaffold_182	A
g15821	scaffold_182	A
g15822	scaffold_182	A
g15823	scaffold_182	A
g15824	scaffold_182	A
g15825	scaffold_182	A
g15826	scaffold_182	A
g15827	scaffold_182	A
g15828	scaffold_182	A
g15829	scaffold_182	A
g1583	scaffold_206	A
g15830	scaffold_182	A
g15831	scaffold_182	A
g15832	scaffold_182	A
g15833	scaffold_182	A
g15834	scaffold_182	A
g15835	scaffold_182	A
g15836	scaffold_182	A
g15837	scaffold_182	A
g15838	scaffold_182	A
g15839	scaffold_182	A
g1584	scaffold_206	A
g15840	scaffold_182	A
g15841	scaffold_182	A
g15842	scaffold_182	A
g15843	scaffold_182	A
g15844	scaffold_182	A
g15845	scaffold_182	A
g15846	scaffold_2273	A
g15847	scaffold_1281	A
g15848	scaffold_1281	A
g15849	scaffold_1281	A
g1585	scaffold_1601	A
g15850	scaffold_1514	Bc
g15851	scaffold_1514	Bc
g15852	scaffold_598	A
g15853	scaffold_598	A
g15854	scaffold_598	A
g15855	scaffold_598	A
g15856	scaffold_598	A
g15857	scaffold_598	A
g15858	scaffold_598	A
g15859	scaffold_598	A
g1586	scaffold_824	A
g15860	scaffold_598	A
g15861	scaffold_598	A
g15862	scaffold_598	A
g15863	scaffold_598	A
g15864	scaffold_598	A
g15865	scaffold_598	A
g15866	scaffold_187	A
g15867	scaffold_187	A
g15868	scaffold_187	A
g15869	scaffold_187	A
g1587	scaffold_824	A
g15870	scaffold_187	A
g15871	scaffold_187	A
g15872	scaffold_187	A
g15873	scaffold_187	A
g15874	scaffold_187	A
g15875	scaffold_187	A
g15876	scaffold_187	A
g15877	scaffold_187	A
g15878	scaffold_187	A
g15879	scaffold_187	A
g1588	scaffold_824	A
g15880	scaffold_187	A
g15881	scaffold_187	A
g15882	scaffold_187	A
g15883	scaffold_187	A
g15884	scaffold_187	A
g15885	scaffold_187	A
g15886	scaffold_187	A
g15887	scaffold_187	A
g15888	scaffold_187	A
g15889	scaffold_187	A
g1589	scaffold_824	A
g15890	scaffold_187	A
g15891	scaffold_187	A
g15892	scaffold_187	A
g15893	scaffold_187	A
g15894	scaffold_187	A
g15895	scaffold_187	A
g15896	scaffold_187	A
g15897	scaffold_187	A
g15898	scaffold_187	A
g15899	scaffold_187	A
g159	scaffold_360	B-A
g1590	scaffold_824	A
g15900	scaffold_187	A
g15901	scaffold_187	A
g15902	scaffold_187	A
g15903	scaffold_187	A
g15904	scaffold_187	A
g15905	scaffold_187	A
g15906	scaffold_187	A
g15907	scaffold_187	A
g15908	scaffold_187	A
g15909	scaffold_187	A
g1591	scaffold_824	A
g15910	scaffold_187	A
g15911	scaffold_187	A
g15912	scaffold_187	A
g15913	scaffold_187	A
g15914	scaffold_187	A
g15915	scaffold_187	A
g15916	scaffold_187	A
g15917	scaffold_187	A
g15918	scaffold_187	A
g15919	scaffold_187	A
g1592	scaffold_824	A
g15920	scaffold_454	A
g15921	scaffold_454	A
g15922	scaffold_454	A
g15923	scaffold_883	A
g15924	scaffold_1172	A
g15925	scaffold_1172	A
g15926	scaffold_1172	A
g15927	scaffold_761	A
g15928	scaffold_761	A
g15929	scaffold_1796	A
g1593	scaffold_824	A
g15930	scaffold_432	A
g15931	scaffold_432	A
g15932	scaffold_432	A
g15933	scaffold_432	A
g15934	scaffold_432	A
g15935	scaffold_432	A
g15936	scaffold_432	A
g15937	scaffold_432	A
g15938	scaffold_432	A
g15939	scaffold_432	A
g1594	scaffold_824	A
g15940	scaffold_432	A
g15941	scaffold_432	A
g15942	scaffold_432	A
g15943	scaffold_432	A
g15944	scaffold_432	A
g15945	scaffold_1102	A
g15946	scaffold_1102	A
g15947	scaffold_1957	A
g15948	scaffold_808	A
g15949	scaffold_1413	A
g1595	scaffold_1845	Bc
g15950	scaffold_1413	A
g15951	scaffold_1776	A
g15952	scaffold_601	A
g15953	scaffold_2086	A
g15954	scaffold_2086	A
g15955	scaffold_863	A
g15956	scaffold_863	A
g15957	scaffold_863	A
g15958	scaffold_75	A
g15959	scaffold_75	A
g1596	scaffold_346	A
g15960	scaffold_75	A
g15961	scaffold_75	A
g15962	scaffold_75	A
g15963	scaffold_75	A
g15964	scaffold_75	A
g15965	scaffold_75	A
g15966	scaffold_75	A
g15967	scaffold_75	A
g15968	scaffold_75	A
g15969	scaffold_75	A
g1597	scaffold_346	A
g15970	scaffold_75	A
g15971	scaffold_75	A
g15972	scaffold_75	A
g15973	scaffold_75	A
g15974	scaffold_75	A
g15975	scaffold_75	A
g15976	scaffold_75	A
g15977	scaffold_75	A
g15978	scaffold_75	A
g15979	scaffold_75	A
g1598	scaffold_346	A
g15980	scaffold_75	A
g15981	scaffold_75	A
g15982	scaffold_75	A
g15983	scaffold_75	A
g15984	scaffold_75	A
g15985	scaffold_75	A
g15986	scaffold_75	A
g15987	scaffold_75	A
g15988	scaffold_75	A
g15989	scaffold_75	A
g1599	scaffold_346	A
g15990	scaffold_75	A
g15991	scaffold_75	A
g15992	scaffold_75	A
g15993	scaffold_75	A
g15994	scaffold_75	A
g15995	scaffold_75	A
g15996	scaffold_75	A
g15997	scaffold_75	A
g15998	scaffold_75	A
g15999	scaffold_75	A
g16	scaffold_93	A
g160	scaffold_360	B-A
g1600	scaffold_346	A
g16000	scaffold_75	A
g16001	scaffold_75	A
g16002	scaffold_75	A
g16003	scaffold_75	A
g16004	scaffold_75	A
g16005	scaffold_75	A
g16006	scaffold_75	A
g16007	scaffold_75	A
g16008	scaffold_75	A
g16009	scaffold_75	A
g1601	scaffold_346	A
g16010	scaffold_75	A
g16011	scaffold_75	A
g16012	scaffold_75	A
g16013	scaffold_75	A
g16014	scaffold_75	A
g16015	scaffold_75	A
g16016	scaffold_75	A
g16017	scaffold_75	A
g16018	scaffold_75	A
g16019	scaffold_1857	A
g1602	scaffold_346	A
g16020	scaffold_772	A
g16021	scaffold_1048	Bc
g16022	scaffold_1048	Bc
g16023	scaffold_1048	Bc
g16024	scaffold_225	A
g16025	scaffold_225	A
g16026	scaffold_225	A
g16027	scaffold_225	A
g16028	scaffold_225	A
g16029	scaffold_225	A
g1603	scaffold_346	A
g16030	scaffold_225	A
g16031	scaffold_225	A
g16032	scaffold_225	A
g16033	scaffold_225	A
g16034	scaffold_225	A
g16035	scaffold_225	A
g16036	scaffold_225	A
g16037	scaffold_225	A
g16038	scaffold_225	A
g16039	scaffold_225	A
g1604	scaffold_346	A
g16040	scaffold_225	A
g16041	scaffold_225	A
g16042	scaffold_225	A
g16043	scaffold_225	A
g16044	scaffold_225	A
g16045	scaffold_225	A
g16046	scaffold_225	A
g16047	scaffold_225	A
g16048	scaffold_225	A
g16049	scaffold_225	A
g1605	scaffold_346	A
g16050	scaffold_225	A
g16051	scaffold_225	A
g16052	scaffold_225	A
g16053	scaffold_2103	A
g16054	scaffold_2103	A
g16055	scaffold_315	A
g16056	scaffold_315	A
g16057	scaffold_315	A
g16058	scaffold_315	A
g16059	scaffold_315	A
g1606	scaffold_346	A
g16060	scaffold_315	A
g16061	scaffold_315	A
g16062	scaffold_315	A
g16063	scaffold_315	A
g16064	scaffold_315	A
g16065	scaffold_315	A
g16066	scaffold_315	A
g16067	scaffold_315	A
g16068	scaffold_315	A
g16069	scaffold_315	A
g1607	scaffold_346	A
g16070	scaffold_315	A
g16071	scaffold_315	A
g16072	scaffold_315	A
g16073	scaffold_315	A
g16074	scaffold_315	A
g16075	scaffold_191	A
g16076	scaffold_191	A
g16077	scaffold_191	A
g16078	scaffold_191	A
g16079	scaffold_191	A
g1608	scaffold_346	A
g16080	scaffold_191	A
g16081	scaffold_191	A
g16082	scaffold_191	A
g16083	scaffold_191	A
g16084	scaffold_191	A
g16085	scaffold_191	A
g16086	scaffold_191	A
g16087	scaffold_191	A
g16088	scaffold_191	A
g16089	scaffold_191	A
g1609	scaffold_346	A
g16090	scaffold_191	A
g16091	scaffold_191	A
g16092	scaffold_191	A
g16093	scaffold_191	A
g16094	scaffold_191	A
g16095	scaffold_191	A
g16096	scaffold_191	A
g16097	scaffold_191	A
g16098	scaffold_191	A
g16099	scaffold_191	A
g161	scaffold_360	B-A
g1610	scaffold_346	A
g16100	scaffold_623	A
g16101	scaffold_623	A
g16102	scaffold_623	A
g16103	scaffold_623	A
g16104	scaffold_623	A
g16105	scaffold_1505	A
g16106	scaffold_439	A
g16107	scaffold_439	A
g16108	scaffold_439	A
g16109	scaffold_439	A
g1611	scaffold_346	A
g16110	scaffold_439	A
g16111	scaffold_439	A
g16112	scaffold_439	A
g16113	scaffold_484	A
g16114	scaffold_484	A
g16115	scaffold_484	A
g16116	scaffold_484	A
g16117	scaffold_484	A
g16118	scaffold_484	A
g16119	scaffold_484	A
g1612	scaffold_346	A
g16120	scaffold_484	A
g16121	scaffold_484	A
g16122	scaffold_484	A
g16123	scaffold_484	A
g16124	scaffold_521	A
g16125	scaffold_521	A
g16126	scaffold_521	A
g16127	scaffold_521	A
g16128	scaffold_521	A
g16129	scaffold_521	A
g1613	scaffold_346	A
g16130	scaffold_521	A
g16131	scaffold_521	A
g16132	scaffold_521	A
g16133	scaffold_521	A
g16134	scaffold_521	A
g16135	scaffold_521	A
g16136	scaffold_521	A
g16137	scaffold_521	A
g16138	scaffold_54	A
g16139	scaffold_54	A
g1614	scaffold_346	A
g16140	scaffold_54	A
g16141	scaffold_54	A
g16142	scaffold_54	A
g16143	scaffold_54	A
g16144	scaffold_54	A
g16145	scaffold_54	A
g16146	scaffold_54	A
g16147	scaffold_54	A
g16148	scaffold_54	A
g16149	scaffold_54	A
g1615	scaffold_346	A
g16150	scaffold_54	A
g16151	scaffold_54	A
g16152	scaffold_54	A
g16153	scaffold_54	A
g16154	scaffold_54	A
g16155	scaffold_54	A
g16156	scaffold_54	A
g16157	scaffold_54	A
g16158	scaffold_54	A
g16159	scaffold_54	A
g1616	scaffold_346	A
g16160	scaffold_54	A
g16161	scaffold_54	A
g16162	scaffold_54	A
g16163	scaffold_54	A
g16164	scaffold_54	A
g16165	scaffold_54	A
g16166	scaffold_54	A
g16167	scaffold_54	A
g16168	scaffold_54	A
g16169	scaffold_54	A
g1617	scaffold_346	A
g16170	scaffold_54	A
g16171	scaffold_54	A
g16172	scaffold_54	A
g16173	scaffold_54	A
g16174	scaffold_54	A
g16175	scaffold_54	A
g16176	scaffold_54	A
g16177	scaffold_54	A
g16178	scaffold_54	A
g16179	scaffold_54	A
g1618	scaffold_346	A
g16180	scaffold_54	A
g16181	scaffold_54	A
g16182	scaffold_54	A
g16183	scaffold_54	A
g16184	scaffold_54	A
g16185	scaffold_54	A
g16186	scaffold_54	A
g16187	scaffold_54	A
g16188	scaffold_54	A
g16189	scaffold_54	A
g1619	scaffold_346	A
g16190	scaffold_54	A
g16191	scaffold_54	A
g16192	scaffold_54	A
g16193	scaffold_54	A
g16194	scaffold_54	A
g16195	scaffold_54	A
g16196	scaffold_54	A
g16197	scaffold_54	A
g16198	scaffold_54	A
g16199	scaffold_54	A
g162	scaffold_360	B-A
g1620	scaffold_346	A
g16200	scaffold_54	A
g16201	scaffold_54	A
g16202	scaffold_54	A
g16203	scaffold_54	A
g16204	scaffold_54	A
g16205	scaffold_54	A
g16206	scaffold_54	A
g16207	scaffold_54	A
g16208	scaffold_54	A
g16209	scaffold_54	A
g1621	scaffold_346	A
g16210	scaffold_54	A
g16211	scaffold_54	A
g16212	scaffold_54	A
g16213	scaffold_54	A
g16214	scaffold_54	A
g16215	scaffold_54	A
g16216	scaffold_54	A
g16217	scaffold_54	A
g16218	scaffold_54	A
g16219	scaffold_54	A
g1622	scaffold_346	A
g16220	scaffold_54	A
g16221	scaffold_54	A
g16222	scaffold_54	A
g16223	scaffold_54	A
g16224	scaffold_54	A
g16225	scaffold_54	A
g16226	scaffold_54	A
g16227	scaffold_54	A
g16228	scaffold_54	A
g16229	scaffold_54	A
g1623	scaffold_346	A
g16230	scaffold_54	A
g16231	scaffold_54	A
g16232	scaffold_1068	A
g16233	scaffold_1068	A
g16234	scaffold_1651	A
g16235	scaffold_535	A
g16236	scaffold_535	A
g16237	scaffold_535	A
g16238	scaffold_535	A
g16239	scaffold_535	A
g1624	scaffold_346	A
g16240	scaffold_535	A
g16241	scaffold_535	A
g16242	scaffold_535	A
g16243	scaffold_535	A
g16244	scaffold_535	A
g16245	scaffold_535	A
g16246	scaffold_535	A
g16247	scaffold_629	A
g16248	scaffold_629	A
g16249	scaffold_629	A
g1625	scaffold_346	A
g16250	scaffold_629	A
g16251	scaffold_629	A
g16252	scaffold_629	A
g16253	scaffold_629	A
g16254	scaffold_629	A
g16255	scaffold_1899	A
g16256	scaffold_544	A
g16257	scaffold_544	A
g16258	scaffold_544	A
g16259	scaffold_544	A
g1626	scaffold_346	A
g16260	scaffold_544	A
g16261	scaffold_544	A
g16262	scaffold_544	A
g16263	scaffold_544	A
g16264	scaffold_544	A
g16265	scaffold_544	A
g16266	scaffold_544	A
g16267	scaffold_77	A
g16268	scaffold_77	A
g16269	scaffold_77	A
g1627	scaffold_346	A
g16270	scaffold_77	A
g16271	scaffold_77	A
g16272	scaffold_77	A
g16273	scaffold_77	A
g16274	scaffold_77	A
g16275	scaffold_77	A
g16276	scaffold_77	A
g16277	scaffold_77	A
g16278	scaffold_77	A
g16279	scaffold_77	A
g1628	scaffold_346	A
g16280	scaffold_77	A
g16281	scaffold_77	A
g16282	scaffold_77	A
g16283	scaffold_77	A
g16284	scaffold_77	A
g16285	scaffold_77	A
g16286	scaffold_77	A
g16287	scaffold_77	A
g16288	scaffold_77	A
g16289	scaffold_77	A
g1629	scaffold_346	A
g16290	scaffold_77	A
g16291	scaffold_77	A
g16292	scaffold_77	A
g16293	scaffold_77	A
g16294	scaffold_77	A
g16295	scaffold_77	A
g16296	scaffold_77	A
g16297	scaffold_77	A
g16298	scaffold_77	A
g16299	scaffold_77	A
g163	scaffold_360	B-A
g1630	scaffold_346	A
g16300	scaffold_77	A
g16301	scaffold_77	A
g16302	scaffold_77	A
g16303	scaffold_77	A
g16304	scaffold_77	A
g16305	scaffold_77	A
g16306	scaffold_77	A
g16307	scaffold_77	A
g16308	scaffold_77	A
g16309	scaffold_77	A
g1631	scaffold_346	A
g16310	scaffold_77	A
g16311	scaffold_77	A
g16312	scaffold_77	A
g16313	scaffold_77	A
g16314	scaffold_77	A
g16315	scaffold_77	A
g16316	scaffold_77	A
g16317	scaffold_77	A
g16318	scaffold_77	A
g16319	scaffold_77	A
g1632	scaffold_1160	A
g16320	scaffold_77	A
g16321	scaffold_77	A
g16322	scaffold_77	A
g16323	scaffold_1148	B
g16324	scaffold_1148	B
g16325	scaffold_612	A
g16326	scaffold_612	A
g16327	scaffold_612	A
g16328	scaffold_612	A
g16329	scaffold_612	A
g1633	scaffold_1160	A
g16330	scaffold_612	A
g16331	scaffold_612	A
g16332	scaffold_612	A
g16333	scaffold_612	A
g16334	scaffold_612	A
g16335	scaffold_612	A
g16336	scaffold_612	A
g16337	scaffold_612	A
g16338	scaffold_612	A
g16339	scaffold_612	A
g1634	scaffold_724	A
g16340	scaffold_612	A
g16341	scaffold_612	A
g16342	scaffold_612	A
g16343	scaffold_612	A
g16344	scaffold_353	A
g16345	scaffold_353	A
g16346	scaffold_353	A
g16347	scaffold_353	A
g16348	scaffold_353	A
g16349	scaffold_353	A
g1635	scaffold_724	A
g16350	scaffold_353	A
g16351	scaffold_353	A
g16352	scaffold_353	A
g16353	scaffold_353	A
g16354	scaffold_353	A
g16355	scaffold_353	A
g16356	scaffold_353	A
g16357	scaffold_353	A
g16358	scaffold_353	A
g16359	scaffold_353	A
g1636	scaffold_1710	A
g16360	scaffold_353	A
g16361	scaffold_353	A
g16362	scaffold_353	A
g16363	scaffold_353	A
g16364	scaffold_353	A
g16365	scaffold_353	A
g16366	scaffold_353	A
g16367	scaffold_353	A
g16368	scaffold_353	A
g16369	scaffold_353	A
g1637	scaffold_1710	A
g16370	scaffold_353	A
g16371	scaffold_353	A
g16372	scaffold_353	A
g16373	scaffold_353	A
g16374	scaffold_353	A
g16375	scaffold_353	A
g16376	scaffold_353	A
g16377	scaffold_353	A
g16378	scaffold_353	A
g16379	scaffold_353	A
g1638	scaffold_1710	A
g16380	scaffold_353	A
g16381	scaffold_353	A
g16382	scaffold_353	A
g16383	scaffold_353	A
g16384	scaffold_353	A
g16385	scaffold_353	A
g16386	scaffold_353	A
g16387	scaffold_353	A
g16388	scaffold_353	A
g16389	scaffold_353	A
g1639	scaffold_1710	A
g16390	scaffold_970	A
g16391	scaffold_970	A
g16392	scaffold_499	A
g16393	scaffold_499	A
g16394	scaffold_499	A
g16395	scaffold_499	A
g16396	scaffold_499	A
g16397	scaffold_499	A
g16398	scaffold_499	A
g16399	scaffold_499	A
g164	scaffold_360	B-A
g1640	scaffold_157	A
g16400	scaffold_550	A
g16401	scaffold_550	A
g16402	scaffold_550	A
g16403	scaffold_550	A
g16404	scaffold_550	A
g16405	scaffold_299	A
g16406	scaffold_299	A
g16407	scaffold_299	A
g16408	scaffold_299	A
g16409	scaffold_299	A
g1641	scaffold_157	A
g16410	scaffold_299	A
g16411	scaffold_299	A
g16412	scaffold_299	A
g16413	scaffold_299	A
g16414	scaffold_299	A
g16415	scaffold_299	A
g16416	scaffold_299	A
g16417	scaffold_299	A
g16418	scaffold_299	A
g16419	scaffold_299	A
g1642	scaffold_157	A
g16420	scaffold_299	A
g16421	scaffold_299	A
g16422	scaffold_299	A
g16423	scaffold_299	A
g16424	scaffold_299	A
g16425	scaffold_299	A
g16426	scaffold_299	A
g16427	scaffold_299	A
g16428	scaffold_299	A
g16429	scaffold_299	A
g1643	scaffold_157	A
g16430	scaffold_299	A
g16431	scaffold_299	A
g16432	scaffold_299	A
g16433	scaffold_299	A
g16434	scaffold_299	A
g16435	scaffold_299	A
g16436	scaffold_299	A
g16437	scaffold_299	A
g16438	scaffold_299	A
g16439	scaffold_299	A
g1644	scaffold_157	A
g16440	scaffold_299	A
g16441	scaffold_299	A
g16442	scaffold_299	A
g16443	scaffold_299	A
g16444	scaffold_299	A
g16445	scaffold_299	A
g16446	scaffold_299	A
g16447	scaffold_299	A
g16448	scaffold_299	A
g16449	scaffold_299	A
g1645	scaffold_157	A
g16450	scaffold_299	A
g16451	scaffold_299	A
g16452	scaffold_299	A
g16453	scaffold_1112	A
g16454	scaffold_1112	A
g16455	scaffold_1425	Bc
g16456	scaffold_1425	Bc
g16457	scaffold_1494	Bc
g16458	scaffold_2183	A
g16459	scaffold_1290	A
g1646	scaffold_157	A
g16460	scaffold_1290	A
g16461	scaffold_1058	A
g16462	scaffold_1058	A
g16463	scaffold_1058	A
g16464	scaffold_1095	A
g16465	scaffold_1156	A
g16466	scaffold_25	A
g16467	scaffold_25	A
