gene,seq,b.status.final,transcripts
g18903,scaffold_144,A,g18903.t1
g18925,scaffold_144,A,g18925.t1
g18909,scaffold_144,A,g18909.t1
g18908,scaffold_144,A,g18908.t1
g18922,scaffold_144,A,g18922.t1
g18917,scaffold_144,A,g18917.t1
g18911,scaffold_144,A,g18911.t1
g18933,scaffold_144,A,g18933.t1
g18930,scaffold_144,A,g18930.t1
g18930,scaffold_144,A,g18930.t2
g18912,scaffold_144,A,g18912.t1
g18907,scaffold_144,A,g18907.t1
g18927,scaffold_144,A,g18927.t1
g18924,scaffold_144,A,g18924.t1
g18905,scaffold_144,A,g18905.t1
g18906,scaffold_144,A,g18906.t1
g18919,scaffold_144,A,g18919.t1
g18931,scaffold_144,A,g18931.t1
g18932,scaffold_144,A,g18932.t1
g18921,scaffold_144,A,g18921.t1
g13786,scaffold_1441,B3,g13786.t1
g8669,scaffold_1443,A,g8669.t1
g8711,scaffold_1446,A,g8711.t1
g8712,scaffold_1446,A,g8712.t1
g8710,scaffold_1446,A,g8710.t1
g2372,scaffold_1449,A,g2372.t1
g14526,scaffold_145,A,g14526.t1
g14517,scaffold_145,A,g14517.t1
g14545,scaffold_145,A,g14545.t1
g14545,scaffold_145,A,g14545.t2
g14493,scaffold_145,A,g14493.t1
g14506,scaffold_145,A,g14506.t1
g14502,scaffold_145,A,g14502.t1
g14528,scaffold_145,A,g14528.t1
g14519,scaffold_145,A,g14519.t1
g14546,scaffold_145,A,g14546.t1
g14497,scaffold_145,A,g14497.t1
g14495,scaffold_145,A,g14495.t1
g14507,scaffold_145,A,g14507.t1
g14538,scaffold_145,A,g14538.t1
g14491,scaffold_145,A,g14491.t1
g14489,scaffold_145,A,g14489.t1
g14489,scaffold_145,A,g14489.t2
g14503,scaffold_145,A,g14503.t1
g14501,scaffold_145,A,g14501.t1
g14514,scaffold_145,A,g14514.t1
g14490,scaffold_145,A,g14490.t1
g14505,scaffold_145,A,g14505.t1
g14505,scaffold_145,A,g14505.t2
g14542,scaffold_145,A,g14542.t1
g14504,scaffold_145,A,g14504.t1
g14513,scaffold_145,A,g14513.t1
g14498,scaffold_145,A,g14498.t1
g14499,scaffold_145,A,g14499.t1
g14522,scaffold_145,A,g14522.t1
g14539,scaffold_145,A,g14539.t1
g14534,scaffold_145,A,g14534.t1
g14532,scaffold_145,A,g14532.t1
g14511,scaffold_145,A,g14511.t1
g14527,scaffold_145,A,g14527.t1
g14543,scaffold_145,A,g14543.t1
g14492,scaffold_145,A,g14492.t1
g14492,scaffold_145,A,g14492.t2
g14515,scaffold_145,A,g14515.t1
g14530,scaffold_145,A,g14530.t1
g14544,scaffold_145,A,g14544.t1
g14509,scaffold_145,A,g14509.t1
g14508,scaffold_145,A,g14508.t1
g14523,scaffold_145,A,g14523.t1
g14488,scaffold_145,A,g14488.t1
g14525,scaffold_145,A,g14525.t1
g14510,scaffold_145,A,g14510.t1
g14494,scaffold_145,A,g14494.t1
g14521,scaffold_145,A,g14521.t1
g14516,scaffold_145,A,g14516.t1
g14540,scaffold_145,A,g14540.t1
g14540,scaffold_145,A,g14540.t2
g14487,scaffold_145,A,g14487.t1
g14541,scaffold_145,A,g14541.t1
g14496,scaffold_145,A,g14496.t1
g14531,scaffold_145,A,g14531.t1
g14524,scaffold_145,A,g14524.t1
g14529,scaffold_145,A,g14529.t1
g14537,scaffold_145,A,g14537.t1
g14536,scaffold_145,A,g14536.t1
g14518,scaffold_145,A,g14518.t1
g14533,scaffold_145,A,g14533.t1
g14512,scaffold_145,A,g14512.t1
g14535,scaffold_145,A,g14535.t1
g14520,scaffold_145,A,g14520.t1
g14500,scaffold_145,A,g14500.t1
g1158,scaffold_1450,A,g1158.t1
g1159,scaffold_1450,A,g1159.t1
g18075,scaffold_1453,A,g18075.t1
g2646,scaffold_1454,B3,g2646.t1
g2645,scaffold_1454,B3,g2645.t1
g20037,scaffold_1456,A,g20037.t1
g6373,scaffold_1457,A,g6373.t1
g6375,scaffold_1457,A,g6375.t1
g6374,scaffold_1457,A,g6374.t1
g944,scaffold_1458,A,g944.t1
g945,scaffold_1458,A,g945.t1
g17856,scaffold_146,A,g17856.t1
g17879,scaffold_146,A,g17879.t1
g17860,scaffold_146,A,g17860.t1
g17873,scaffold_146,A,g17873.t1
g17859,scaffold_146,A,g17859.t1
g17876,scaffold_146,A,g17876.t1
g17862,scaffold_146,A,g17862.t1
g17861,scaffold_146,A,g17861.t1
g17857,scaffold_146,A,g17857.t1
g17868,scaffold_146,A,g17868.t1
g17869,scaffold_146,A,g17869.t1
g17871,scaffold_146,A,g17871.t1
g17870,scaffold_146,A,g17870.t1
g17881,scaffold_146,A,g17881.t1
g17854,scaffold_146,A,g17854.t1
g17875,scaffold_146,A,g17875.t1
g17882,scaffold_146,A,g17882.t1
g17880,scaffold_146,A,g17880.t1
g17878,scaffold_146,A,g17878.t1
g17864,scaffold_146,A,g17864.t1
g17865,scaffold_146,A,g17865.t1
g17855,scaffold_146,A,g17855.t1
g17877,scaffold_146,A,g17877.t1
g17866,scaffold_146,A,g17866.t1
g17858,scaffold_146,A,g17858.t1
g17867,scaffold_146,A,g17867.t1
g17874,scaffold_146,A,g17874.t1
g17853,scaffold_146,A,g17853.t1
g17863,scaffold_146,A,g17863.t1
g17872,scaffold_146,A,g17872.t1
g13226,scaffold_1460,B2,g13226.t1
g8349,scaffold_1461,A,g8349.t1
g8348,scaffold_1461,A,g8348.t1
g2641,scaffold_1464,A,g2641.t1
g12800,scaffold_1467,A,g12800.t1
g12803,scaffold_1467,A,g12803.t1
g12805,scaffold_1467,A,g12805.t1
g12804,scaffold_1467,A,g12804.t1
g12802,scaffold_1467,A,g12802.t1
g12801,scaffold_1467,A,g12801.t1
g5825,scaffold_1469,B2,g5825.t1
g5824,scaffold_1469,B2,g5824.t1
g9150,scaffold_147,A,g9150.t1
g9144,scaffold_147,A,g9144.t1
g9152,scaffold_147,A,g9152.t1
g9185,scaffold_147,A,g9185.t1
g9142,scaffold_147,A,g9142.t1
g9164,scaffold_147,A,g9164.t1
g9156,scaffold_147,A,g9156.t1
g9141,scaffold_147,A,g9141.t1
g9146,scaffold_147,A,g9146.t1
g9147,scaffold_147,A,g9147.t1
g9147,scaffold_147,A,g9147.t2
g9148,scaffold_147,A,g9148.t1
g9157,scaffold_147,A,g9157.t1
g9161,scaffold_147,A,g9161.t1
g9174,scaffold_147,A,g9174.t1
g9151,scaffold_147,A,g9151.t1
g9176,scaffold_147,A,g9176.t1
g9177,scaffold_147,A,g9177.t1
g9166,scaffold_147,A,g9166.t1
g9167,scaffold_147,A,g9167.t1
g9168,scaffold_147,A,g9168.t1
g9169,scaffold_147,A,g9169.t1
g9158,scaffold_147,A,g9158.t1
g9170,scaffold_147,A,g9170.t1
g9183,scaffold_147,A,g9183.t1
g9160,scaffold_147,A,g9160.t1
g9173,scaffold_147,A,g9173.t1
g9171,scaffold_147,A,g9171.t1
g9163,scaffold_147,A,g9163.t1
g9162,scaffold_147,A,g9162.t1
g9175,scaffold_147,A,g9175.t1
g9178,scaffold_147,A,g9178.t1
g9179,scaffold_147,A,g9179.t1
g9153,scaffold_147,A,g9153.t1
g9180,scaffold_147,A,g9180.t1
g9149,scaffold_147,A,g9149.t1
g9182,scaffold_147,A,g9182.t1
g9159,scaffold_147,A,g9159.t1
g9172,scaffold_147,A,g9172.t1
g9155,scaffold_147,A,g9155.t1
g9181,scaffold_147,A,g9181.t1
g9154,scaffold_147,A,g9154.t1
g9145,scaffold_147,A,g9145.t1
g9184,scaffold_147,A,g9184.t1
g9143,scaffold_147,A,g9143.t1
g9165,scaffold_147,A,g9165.t1
g2289,scaffold_1471,B2,g2289.t1
g17649,scaffold_1472,B2,g17649.t1
g17650,scaffold_1472,B2,g17650.t1
g17648,scaffold_1472,B2,g17648.t1
g17647,scaffold_1472,B2,g17647.t1
g17652,scaffold_1472,B2,g17652.t1
g17651,scaffold_1472,B2,g17651.t1
g11644,scaffold_1473,A,g11644.t1
g12776,scaffold_1475,A,g12776.t1
g12777,scaffold_1475,A,g12777.t1
g1212,scaffold_1479,A,g1212.t1
g1211,scaffold_1479,A,g1211.t1
g1213,scaffold_1479,A,g1213.t1
g22990,scaffold_148,A,g22990.t1
g22978,scaffold_148,A,g22978.t1
g22988,scaffold_148,A,g22988.t1
g22980,scaffold_148,A,g22980.t1
g22976,scaffold_148,A,g22976.t1
g22992,scaffold_148,A,g22992.t1
g22992,scaffold_148,A,g22992.t2
g22968,scaffold_148,A,g22968.t1
g22966,scaffold_148,A,g22966.t1
g22967,scaffold_148,A,g22967.t1
g22967,scaffold_148,A,g22967.t2
g22967,scaffold_148,A,g22967.t3
g22987,scaffold_148,A,g22987.t1
g22975,scaffold_148,A,g22975.t1
g22977,scaffold_148,A,g22977.t1
g22997,scaffold_148,A,g22997.t1
g22996,scaffold_148,A,g22996.t1
g22984,scaffold_148,A,g22984.t1
g22969,scaffold_148,A,g22969.t1
g22989,scaffold_148,A,g22989.t1
g22986,scaffold_148,A,g22986.t1
g22972,scaffold_148,A,g22972.t1
g22971,scaffold_148,A,g22971.t1
g22994,scaffold_148,A,g22994.t1
g22994,scaffold_148,A,g22994.t2
g22979,scaffold_148,A,g22979.t1
g22970,scaffold_148,A,g22970.t1
g22973,scaffold_148,A,g22973.t1
g22991,scaffold_148,A,g22991.t1
g22991,scaffold_148,A,g22991.t2
g22991,scaffold_148,A,g22991.t3
g22982,scaffold_148,A,g22982.t1
g22974,scaffold_148,A,g22974.t1
g22995,scaffold_148,A,g22995.t1
g22995,scaffold_148,A,g22995.t2
g22981,scaffold_148,A,g22981.t1
g22993,scaffold_148,A,g22993.t1
g22983,scaffold_148,A,g22983.t1
g22985,scaffold_148,A,g22985.t1
g17342,scaffold_1480,A,g17342.t1
g19055,scaffold_1481,A,g19055.t1
g12097,scaffold_1482,A,g12097.t1
g12098,scaffold_1482,A,g12098.t1
g12096,scaffold_1482,A,g12096.t1
g8513,scaffold_1484,B3,g8513.t1
g8515,scaffold_1484,B3,g8515.t1
g8514,scaffold_1484,B3,g8514.t1
g1546,scaffold_1486,A,g1546.t1
g18074,scaffold_1487,A,g18074.t1
g18074,scaffold_1487,A,g18074.t2
g7321,scaffold_149,A,g7321.t1
g7321,scaffold_149,A,g7321.t2
g7320,scaffold_149,A,g7320.t1
g7333,scaffold_149,A,g7333.t1
g7304,scaffold_149,A,g7304.t1
g7304,scaffold_149,A,g7304.t2
g7305,scaffold_149,A,g7305.t1
g7332,scaffold_149,A,g7332.t1
g7309,scaffold_149,A,g7309.t1
g7308,scaffold_149,A,g7308.t1
g7312,scaffold_149,A,g7312.t1
g7347,scaffold_149,A,g7347.t1
g7319,scaffold_149,A,g7319.t1
g7339,scaffold_149,A,g7339.t1
g7340,scaffold_149,A,g7340.t1
g7341,scaffold_149,A,g7341.t1
g7317,scaffold_149,A,g7317.t1
g7330,scaffold_149,A,g7330.t1
g7315,scaffold_149,A,g7315.t1
g7306,scaffold_149,A,g7306.t1
g7355,scaffold_149,A,g7355.t1
g7356,scaffold_149,A,g7356.t1
g7311,scaffold_149,A,g7311.t1
g7310,scaffold_149,A,g7310.t1
g7324,scaffold_149,A,g7324.t1
g7314,scaffold_149,A,g7314.t1
g7313,scaffold_149,A,g7313.t1
g7313,scaffold_149,A,g7313.t2
g7349,scaffold_149,A,g7349.t1
g7329,scaffold_149,A,g7329.t1
g7363,scaffold_149,A,g7363.t1
g7364,scaffold_149,A,g7364.t1
g7365,scaffold_149,A,g7365.t1
g7365,scaffold_149,A,g7365.t2
g7354,scaffold_149,A,g7354.t1
g7367,scaffold_149,A,g7367.t1
g7368,scaffold_149,A,g7368.t1
g7323,scaffold_149,A,g7323.t1
g7322,scaffold_149,A,g7322.t1
g7346,scaffold_149,A,g7346.t1
g7337,scaffold_149,A,g7337.t1
g7337,scaffold_149,A,g7337.t2
g7338,scaffold_149,A,g7338.t1
g7336,scaffold_149,A,g7336.t1
g7327,scaffold_149,A,g7327.t1
g7328,scaffold_149,A,g7328.t1
g7351,scaffold_149,A,g7351.t1
g7318,scaffold_149,A,g7318.t1
g7307,scaffold_149,A,g7307.t1
g7366,scaffold_149,A,g7366.t1
g7343,scaffold_149,A,g7343.t1
g7343,scaffold_149,A,g7343.t2
g7348,scaffold_149,A,g7348.t1
g7357,scaffold_149,A,g7357.t1
g7358,scaffold_149,A,g7358.t1
g7345,scaffold_149,A,g7345.t1
g7361,scaffold_149,A,g7361.t1
g7350,scaffold_149,A,g7350.t1
g7353,scaffold_149,A,g7353.t1
g7342,scaffold_149,A,g7342.t1
g7359,scaffold_149,A,g7359.t1
g7325,scaffold_149,A,g7325.t1
g7334,scaffold_149,A,g7334.t1
g7335,scaffold_149,A,g7335.t1
g7352,scaffold_149,A,g7352.t1
g7352,scaffold_149,A,g7352.t2
g7326,scaffold_149,A,g7326.t1
g7360,scaffold_149,A,g7360.t1
g7316,scaffold_149,A,g7316.t1
g7331,scaffold_149,A,g7331.t1
g7344,scaffold_149,A,g7344.t1
g7369,scaffold_149,A,g7369.t1
g7362,scaffold_149,A,g7362.t1
g493,scaffold_1491,A,g493.t1
g20857,scaffold_1493,A,g20857.t1
g20858,scaffold_1493,A,g20858.t1
g16457,scaffold_1494,B3,g16457.t1
g1205,scaffold_1495,B2,g1205.t1
g1206,scaffold_1495,B2,g1206.t1
g16545,scaffold_1496,A,g16545.t1
g16544,scaffold_1496,A,g16544.t1
g18797,scaffold_1499,A,g18797.t1
g13371,scaffold_15,A,g13371.t1
g13312,scaffold_15,A,g13312.t1
g13325,scaffold_15,A,g13325.t1
g13325,scaffold_15,A,g13325.t2
g13349,scaffold_15,A,g13349.t1
g13321,scaffold_15,A,g13321.t1
g13350,scaffold_15,A,g13350.t1
g13350,scaffold_15,A,g13350.t2
g13357,scaffold_15,A,g13357.t1
g13368,scaffold_15,A,g13368.t1
g13327,scaffold_15,A,g13327.t1
g13367,scaffold_15,A,g13367.t1
g13367,scaffold_15,A,g13367.t2
g13367,scaffold_15,A,g13367.t3
g13367,scaffold_15,A,g13367.t4
g13338,scaffold_15,A,g13338.t1
g13359,scaffold_15,A,g13359.t1
g13322,scaffold_15,A,g13322.t1
g13335,scaffold_15,A,g13335.t1
g13334,scaffold_15,A,g13334.t1
g13313,scaffold_15,A,g13313.t1
g13323,scaffold_15,A,g13323.t1
g13337,scaffold_15,A,g13337.t1
g13340,scaffold_15,A,g13340.t1
g13354,scaffold_15,A,g13354.t1
g13379,scaffold_15,A,g13379.t1
g13369,scaffold_15,A,g13369.t1
g13341,scaffold_15,A,g13341.t1
g13319,scaffold_15,A,g13319.t1
g13343,scaffold_15,A,g13343.t1
g13336,scaffold_15,A,g13336.t1
g13333,scaffold_15,A,g13333.t1
g13331,scaffold_15,A,g13331.t1
g13324,scaffold_15,A,g13324.t1
g13347,scaffold_15,A,g13347.t1
g13375,scaffold_15,A,g13375.t1
g13362,scaffold_15,A,g13362.t1
g13378,scaffold_15,A,g13378.t1
g13317,scaffold_15,A,g13317.t1
g13317,scaffold_15,A,g13317.t2
g13328,scaffold_15,A,g13328.t1
g13355,scaffold_15,A,g13355.t1
g13330,scaffold_15,A,g13330.t1
g13358,scaffold_15,A,g13358.t1
g13320,scaffold_15,A,g13320.t1
g13380,scaffold_15,A,g13380.t1
g13346,scaffold_15,A,g13346.t1
g13370,scaffold_15,A,g13370.t1
g13348,scaffold_15,A,g13348.t1
g13382,scaffold_15,A,g13382.t1
g13373,scaffold_15,A,g13373.t1
g13339,scaffold_15,A,g13339.t1
g13376,scaffold_15,A,g13376.t1
g13377,scaffold_15,A,g13377.t1
g13315,scaffold_15,A,g13315.t1
g13342,scaffold_15,A,g13342.t1
g13318,scaffold_15,A,g13318.t1
g13318,scaffold_15,A,g13318.t2
g13344,scaffold_15,A,g13344.t1
g13332,scaffold_15,A,g13332.t1
g13360,scaffold_15,A,g13360.t1
g13384,scaffold_15,A,g13384.t1
g13316,scaffold_15,A,g13316.t1
g13383,scaffold_15,A,g13383.t1
g13366,scaffold_15,A,g13366.t1
g13326,scaffold_15,A,g13326.t1
g13374,scaffold_15,A,g13374.t1
g13351,scaffold_15,A,g13351.t1
g13381,scaffold_15,A,g13381.t1
g13353,scaffold_15,A,g13353.t1
g13363,scaffold_15,A,g13363.t1
g13356,scaffold_15,A,g13356.t1
g13329,scaffold_15,A,g13329.t1
g13314,scaffold_15,A,g13314.t1
g13365,scaffold_15,A,g13365.t1
g13372,scaffold_15,A,g13372.t1
g13345,scaffold_15,A,g13345.t1
g13352,scaffold_15,A,g13352.t1
g13364,scaffold_15,A,g13364.t1
g13361,scaffold_15,A,g13361.t1
g10279,scaffold_150,A,g10279.t1
g10287,scaffold_150,A,g10287.t1
g10259,scaffold_150,A,g10259.t1
g10261,scaffold_150,A,g10261.t1
g10274,scaffold_150,A,g10274.t1
g10276,scaffold_150,A,g10276.t1
g10251,scaffold_150,A,g10251.t1
g10278,scaffold_150,A,g10278.t1
g10262,scaffold_150,A,g10262.t1
g10267,scaffold_150,A,g10267.t1
g10281,scaffold_150,A,g10281.t1
g10257,scaffold_150,A,g10257.t1
g10252,scaffold_150,A,g10252.t1
g10275,scaffold_150,A,g10275.t1
g10269,scaffold_150,A,g10269.t1
g10269,scaffold_150,A,g10269.t2
g10286,scaffold_150,A,g10286.t1
g10288,scaffold_150,A,g10288.t1
g10285,scaffold_150,A,g10285.t1
g10260,scaffold_150,A,g10260.t1
g10277,scaffold_150,A,g10277.t1
g10264,scaffold_150,A,g10264.t1
g10284,scaffold_150,A,g10284.t1
g10254,scaffold_150,A,g10254.t1
g10265,scaffold_150,A,g10265.t1
g10255,scaffold_150,A,g10255.t1
g10282,scaffold_150,A,g10282.t1
g10258,scaffold_150,A,g10258.t1
g10270,scaffold_150,A,g10270.t1
g10271,scaffold_150,A,g10271.t1
g10256,scaffold_150,A,g10256.t1
g10272,scaffold_150,A,g10272.t1
g10273,scaffold_150,A,g10273.t1
g10283,scaffold_150,A,g10283.t1
g10280,scaffold_150,A,g10280.t1
g10268,scaffold_150,A,g10268.t1
g10250,scaffold_150,A,g10250.t1
g10263,scaffold_150,A,g10263.t1
g10266,scaffold_150,A,g10266.t1
g10253,scaffold_150,A,g10253.t1
g4894,scaffold_1500,B2,g4894.t1
g12742,scaffold_1502,A,g12742.t1
g17554,scaffold_1504,A,g17554.t1
g16105,scaffold_1505,A,g16105.t1
g17884,scaffold_1507,A,g17884.t1
g4787,scaffold_1509,A,g4787.t1
g4786,scaffold_1509,A,g4786.t1
g11344,scaffold_151,A,g11344.t1
g11333,scaffold_151,A,g11333.t1
g11377,scaffold_151,A,g11377.t1
g11377,scaffold_151,A,g11377.t2
g11357,scaffold_151,A,g11357.t1
g11354,scaffold_151,A,g11354.t1
g11356,scaffold_151,A,g11356.t1
g11355,scaffold_151,A,g11355.t1
g11367,scaffold_151,A,g11367.t1
g11343,scaffold_151,A,g11343.t1
g11375,scaffold_151,A,g11375.t1
g11337,scaffold_151,A,g11337.t1
g11359,scaffold_151,A,g11359.t1
g11368,scaffold_151,A,g11368.t1
g11366,scaffold_151,A,g11366.t1
g11378,scaffold_151,A,g11378.t1
g11378,scaffold_151,A,g11378.t2
g11339,scaffold_151,A,g11339.t1
g11332,scaffold_151,A,g11332.t1
g11370,scaffold_151,A,g11370.t1
g11363,scaffold_151,A,g11363.t1
g11369,scaffold_151,A,g11369.t1
g11373,scaffold_151,A,g11373.t1
g11338,scaffold_151,A,g11338.t1
g11358,scaffold_151,A,g11358.t1
g11349,scaffold_151,A,g11349.t1
g11350,scaffold_151,A,g11350.t1
g11364,scaffold_151,A,g11364.t1
g11342,scaffold_151,A,g11342.t1
g11352,scaffold_151,A,g11352.t1
g11341,scaffold_151,A,g11341.t1
g11345,scaffold_151,A,g11345.t1
g11348,scaffold_151,A,g11348.t1
g11376,scaffold_151,A,g11376.t1
g11371,scaffold_151,A,g11371.t1
g11335,scaffold_151,A,g11335.t1
g11340,scaffold_151,A,g11340.t1
g11365,scaffold_151,A,g11365.t1
g11347,scaffold_151,A,g11347.t1
g11360,scaffold_151,A,g11360.t1
g11346,scaffold_151,A,g11346.t1
g11372,scaffold_151,A,g11372.t1
g11353,scaffold_151,A,g11353.t1
g11361,scaffold_151,A,g11361.t1
g11334,scaffold_151,A,g11334.t1
g11334,scaffold_151,A,g11334.t2
g11334,scaffold_151,A,g11334.t3
g11336,scaffold_151,A,g11336.t1
g11374,scaffold_151,A,g11374.t1
g11362,scaffold_151,A,g11362.t1
g11351,scaffold_151,A,g11351.t1
g2726,scaffold_1511,A,g2726.t1
g12979,scaffold_1512,A,g12979.t1
g15222,scaffold_1517,A,g15222.t1
g11664,scaffold_152,A,g11664.t1
g11647,scaffold_152,A,g11647.t1
g11660,scaffold_152,A,g11660.t1
g11675,scaffold_152,A,g11675.t1
g11649,scaffold_152,A,g11649.t1
g11649,scaffold_152,A,g11649.t2
g11662,scaffold_152,A,g11662.t1
g11665,scaffold_152,A,g11665.t1
g11666,scaffold_152,A,g11666.t1
g11666,scaffold_152,A,g11666.t2
g11686,scaffold_152,A,g11686.t1
g11646,scaffold_152,A,g11646.t1
g11648,scaffold_152,A,g11648.t1
g11685,scaffold_152,A,g11685.t1
g11679,scaffold_152,A,g11679.t1
g11673,scaffold_152,A,g11673.t1
g11661,scaffold_152,A,g11661.t1
g11653,scaffold_152,A,g11653.t1
g11669,scaffold_152,A,g11669.t1
g11659,scaffold_152,A,g11659.t1
g11659,scaffold_152,A,g11659.t2
g11682,scaffold_152,A,g11682.t1
g11680,scaffold_152,A,g11680.t1
g11684,scaffold_152,A,g11684.t1
g11671,scaffold_152,A,g11671.t1
g11650,scaffold_152,A,g11650.t1
g11657,scaffold_152,A,g11657.t1
g11652,scaffold_152,A,g11652.t1
g11651,scaffold_152,A,g11651.t1
g11663,scaffold_152,A,g11663.t1
g11658,scaffold_152,A,g11658.t1
g11677,scaffold_152,A,g11677.t1
g11668,scaffold_152,A,g11668.t1
g11656,scaffold_152,A,g11656.t1
g11672,scaffold_152,A,g11672.t1
g11681,scaffold_152,A,g11681.t1
g11654,scaffold_152,A,g11654.t1
g11683,scaffold_152,A,g11683.t1
g11674,scaffold_152,A,g11674.t1
g11674,scaffold_152,A,g11674.t2
g11678,scaffold_152,A,g11678.t1
g11655,scaffold_152,A,g11655.t1
g11676,scaffold_152,A,g11676.t1
g11676,scaffold_152,A,g11676.t2
g11667,scaffold_152,A,g11667.t1
g11670,scaffold_152,A,g11670.t1
g20650,scaffold_1521,A,g20650.t1
g20651,scaffold_1521,A,g20651.t1
g18896,scaffold_1524,A,g18896.t1
g18897,scaffold_1524,A,g18897.t1
g20577,scaffold_1526,A,g20577.t1
g20578,scaffold_1526,A,g20578.t1
g19057,scaffold_1527,A,g19057.t1
g20021,scaffold_1528,A,g20021.t1
g9383,scaffold_153,A,g9383.t1
g9361,scaffold_153,A,g9361.t1
g9365,scaffold_153,A,g9365.t1
g9365,scaffold_153,A,g9365.t2
g9365,scaffold_153,A,g9365.t3
g9359,scaffold_153,A,g9359.t1
g9360,scaffold_153,A,g9360.t1
g9369,scaffold_153,A,g9369.t1
g9382,scaffold_153,A,g9382.t1
g9370,scaffold_153,A,g9370.t1
g9375,scaffold_153,A,g9375.t1
g9372,scaffold_153,A,g9372.t1
g9373,scaffold_153,A,g9373.t1
g9366,scaffold_153,A,g9366.t1
g9367,scaffold_153,A,g9367.t1
g9367,scaffold_153,A,g9367.t2
g9367,scaffold_153,A,g9367.t3
g9376,scaffold_153,A,g9376.t1
g9377,scaffold_153,A,g9377.t1
g9393,scaffold_153,A,g9393.t1
g9381,scaffold_153,A,g9381.t1
g9395,scaffold_153,A,g9395.t1
g9380,scaffold_153,A,g9380.t1
g9385,scaffold_153,A,g9385.t1
g9385,scaffold_153,A,g9385.t2
g9386,scaffold_153,A,g9386.t1
g9386,scaffold_153,A,g9386.t2
g9387,scaffold_153,A,g9387.t1
g9396,scaffold_153,A,g9396.t1
g9389,scaffold_153,A,g9389.t1
g9400,scaffold_153,A,g9400.t1
g9379,scaffold_153,A,g9379.t1
g9379,scaffold_153,A,g9379.t2
g9388,scaffold_153,A,g9388.t1
g9392,scaffold_153,A,g9392.t1
g9404,scaffold_153,A,g9404.t1
g9358,scaffold_153,A,g9358.t1
g9406,scaffold_153,A,g9406.t1
g9407,scaffold_153,A,g9407.t1
g9397,scaffold_153,A,g9397.t1
g9398,scaffold_153,A,g9398.t1
g9399,scaffold_153,A,g9399.t1
g9399,scaffold_153,A,g9399.t2
g9363,scaffold_153,A,g9363.t1
g9411,scaffold_153,A,g9411.t1
g9412,scaffold_153,A,g9412.t1
g9401,scaffold_153,A,g9401.t1
g9391,scaffold_153,A,g9391.t1
g9368,scaffold_153,A,g9368.t1
g9408,scaffold_153,A,g9408.t1
g9405,scaffold_153,A,g9405.t1
g9371,scaffold_153,A,g9371.t1
g9394,scaffold_153,A,g9394.t1
g9362,scaffold_153,A,g9362.t1
g9409,scaffold_153,A,g9409.t1
g9378,scaffold_153,A,g9378.t1
g9410,scaffold_153,A,g9410.t1
g9390,scaffold_153,A,g9390.t1
g9374,scaffold_153,A,g9374.t1
g9374,scaffold_153,A,g9374.t2
g9403,scaffold_153,A,g9403.t1
g9402,scaffold_153,A,g9402.t1
g9384,scaffold_153,A,g9384.t1
g9364,scaffold_153,A,g9364.t1
g14659,scaffold_1533,A,g14659.t1
g18550,scaffold_1537,A,g18550.t1
g16638,scaffold_154,A,g16638.t1
g16621,scaffold_154,A,g16621.t1
g16629,scaffold_154,A,g16629.t1
g16610,scaffold_154,A,g16610.t1
g16597,scaffold_154,A,g16597.t1
g16618,scaffold_154,A,g16618.t1
g16641,scaffold_154,A,g16641.t1
g16619,scaffold_154,A,g16619.t1
g16594,scaffold_154,A,g16594.t1
g16605,scaffold_154,A,g16605.t1
g16620,scaffold_154,A,g16620.t1
g16589,scaffold_154,A,g16589.t1
g16630,scaffold_154,A,g16630.t1
g16598,scaffold_154,A,g16598.t1
g16616,scaffold_154,A,g16616.t1
g16590,scaffold_154,A,g16590.t1
g16633,scaffold_154,A,g16633.t1
g16600,scaffold_154,A,g16600.t1
g16593,scaffold_154,A,g16593.t1
g16632,scaffold_154,A,g16632.t1
g16634,scaffold_154,A,g16634.t1
g16603,scaffold_154,A,g16603.t1
g16615,scaffold_154,A,g16615.t1
g16592,scaffold_154,A,g16592.t1
g16604,scaffold_154,A,g16604.t1
g16604,scaffold_154,A,g16604.t2
g16607,scaffold_154,A,g16607.t1
g16642,scaffold_154,A,g16642.t1
g16643,scaffold_154,A,g16643.t1
g16608,scaffold_154,A,g16608.t1
g16609,scaffold_154,A,g16609.t1
g16611,scaffold_154,A,g16611.t1
g16639,scaffold_154,A,g16639.t1
g16602,scaffold_154,A,g16602.t1
g16614,scaffold_154,A,g16614.t1
g16617,scaffold_154,A,g16617.t1
g16626,scaffold_154,A,g16626.t1
g16623,scaffold_154,A,g16623.t1
g16606,scaffold_154,A,g16606.t1
g16624,scaffold_154,A,g16624.t1
g16595,scaffold_154,A,g16595.t1
g16595,scaffold_154,A,g16595.t2
g16636,scaffold_154,A,g16636.t1
g16612,scaffold_154,A,g16612.t1
g16591,scaffold_154,A,g16591.t1
g16635,scaffold_154,A,g16635.t1
g16644,scaffold_154,A,g16644.t1
g16627,scaffold_154,A,g16627.t1
g16622,scaffold_154,A,g16622.t1
g16628,scaffold_154,A,g16628.t1
g16640,scaffold_154,A,g16640.t1
g16631,scaffold_154,A,g16631.t1
g16613,scaffold_154,A,g16613.t1
g16599,scaffold_154,A,g16599.t1
g16625,scaffold_154,A,g16625.t1
g16637,scaffold_154,A,g16637.t1
g16596,scaffold_154,A,g16596.t1
g16601,scaffold_154,A,g16601.t1
