gene	gene_len	seq
g4734	1666	scaffold_193
g4735	2301	scaffold_193
g4736	296	scaffold_193
g4737	1460	scaffold_193
g4738	996	scaffold_193
g4739	234	scaffold_193
g4740	481	scaffold_193
g4741	961	scaffold_193
g4742	926	scaffold_193
g4743	571	scaffold_193
g4744	1241	scaffold_193
g4745	2772	scaffold_193
g4746	851	scaffold_193
g4747	451	scaffold_193
g4748	1216	scaffold_193
g4749	1094	scaffold_193
g4750	361	scaffold_193
g4751	1451	scaffold_193
g4752	2813	scaffold_193
g4753	1136	scaffold_193
g4754	856	scaffold_193
g4755	945	scaffold_193
g4756	1241	scaffold_193
g4757	240	scaffold_193
g4758	7453	scaffold_193
g4759	7339	scaffold_193
g4760	7802	scaffold_193
g4761	2023	scaffold_193
g4762	1270	scaffold_193
g4763	585	scaffold_193
g4764	771	scaffold_193
g4765	382	scaffold_193
g4766	7629	scaffold_193
g4767	570	scaffold_193
g4768	201	scaffold_193
g4769	1086	scaffold_193
g4770	220	scaffold_193
g4771	314	scaffold_193
g4772	933	scaffold_193
g4773	244	scaffold_193
g4774	1968	scaffold_193
g4775	4784	scaffold_193
g4776	5605	scaffold_193
g4777	439	scaffold_193
g4778	536	scaffold_193
g4779	1731	scaffold_193
g4780	1369	scaffold_193
g4781	1381	scaffold_193
g4782	1753	scaffold_193
g4783	2970	scaffold_193
g4784	594	scaffold_193
g4785	391	scaffold_193
g4786	1220	scaffold_1509
g4787	596	scaffold_1509
g4788	222	scaffold_1271
g4789	3937	scaffold_2150
g4790	1007	scaffold_1402
g4791	1022	scaffold_1402
g4792	438	scaffold_996
g4793	164	scaffold_673
g4794	728	scaffold_673
g4795	242	scaffold_673
g4796	1333	scaffold_673
g4797	944	scaffold_673
g4798	245	scaffold_673
g4799	36	scaffold_169
g4800	281	scaffold_169
g4801	5038	scaffold_169
g4802	380	scaffold_169
g4803	2882	scaffold_169
g4804	1311	scaffold_169
g4805	379	scaffold_169
g4806	612	scaffold_169
g4807	1342	scaffold_169
g4808	1300	scaffold_169
g4809	2942	scaffold_169
g4810	2073	scaffold_169
g4811	322	scaffold_169
g4812	3848	scaffold_169
g4813	1854	scaffold_169
g4814	730	scaffold_169
g4815	1338	scaffold_169
g4816	311	scaffold_169
g4817	418	scaffold_169
g4818	535	scaffold_169
g4819	393	scaffold_169
g4820	2412	scaffold_169
g4821	1581	scaffold_169
g4822	1638	scaffold_169
g4823	843	scaffold_169
g4824	805	scaffold_169
g4825	428	scaffold_169
g4826	759	scaffold_169
g4827	1355	scaffold_169
g4828	1266	scaffold_169
g4829	229	scaffold_304
g4830	1039	scaffold_304
g4831	1102	scaffold_304
g4832	1030	scaffold_304
g4833	760	scaffold_304
g4834	563	scaffold_304
g4835	587	scaffold_304
g4836	1871	scaffold_304
g4837	1291	scaffold_304
g4838	238	scaffold_304
g4839	238	scaffold_304
g4840	442	scaffold_304
g4841	479	scaffold_304
g4842	253	scaffold_304
g4843	581	scaffold_304
g4844	1008	scaffold_304
g4845	935	scaffold_304
g4846	533	scaffold_304
g4847	1957	scaffold_304
g4848	918	scaffold_304
g4849	714	scaffold_304
g4850	521	scaffold_304
g4851	915	scaffold_304
g4852	96	scaffold_578
g4853	266	scaffold_578
g4854	365	scaffold_578
g4855	1229	scaffold_578
g4856	2225	scaffold_578
g4857	2123	scaffold_578
g4858	503	scaffold_578
g4859	1736	scaffold_578
g4860	1152	scaffold_578
g4861	2205	scaffold_578
g4862	210	scaffold_578
g4863	313	scaffold_578
g4864	835	scaffold_578
g4865	267	scaffold_578
g4866	2904	scaffold_578
g4867	2346	scaffold_578
g4868	1277	scaffold_578
g4869	738	scaffold_578
g4870	961	scaffold_578
g4871	1948	scaffold_578
g4872	701	scaffold_578
g4873	735	scaffold_578
g4874	839	scaffold_1610
g4875	2966	scaffold_609
g4876	245	scaffold_609
g4877	2062	scaffold_609
g4878	700	scaffold_584
g4879	378	scaffold_584
g4880	473	scaffold_584
g4881	482	scaffold_584
g4882	482	scaffold_584
g4883	488	scaffold_584
g4884	503	scaffold_584
g4885	479	scaffold_584
g4886	485	scaffold_584
g4887	413	scaffold_584
g4888	1008	scaffold_584
g4889	485	scaffold_584
g4890	521	scaffold_584
g4891	482	scaffold_584
g4892	733	scaffold_1696
g4893	1913	scaffold_760
g4894	431	scaffold_1500
g4895	377	scaffold_281
g4896	347	scaffold_281
g4897	301	scaffold_281
g4898	789	scaffold_281
g4899	2412	scaffold_281
g4900	1125	scaffold_281
g4901	1041	scaffold_281
g4902	964	scaffold_281
g4903	223	scaffold_281
g4904	4295	scaffold_281
g4905	738	scaffold_281
g4906	372	scaffold_281
g4907	551	scaffold_281
g4908	4943	scaffold_281
g4909	356	scaffold_281
g4910	411	scaffold_281
g4911	289	scaffold_281
g4912	221	scaffold_281
g4913	5580	scaffold_281
g4914	976	scaffold_281
g4915	1162	scaffold_281
g4916	839	scaffold_281
g4917	1914	scaffold_281
g4918	1636	scaffold_281
g4919	1642	scaffold_281
g4920	5703	scaffold_281
g4921	2579	scaffold_281
g4922	563	scaffold_281
g4923	869	scaffold_281
g4924	272	scaffold_281
g4925	459	scaffold_281
g4926	267	scaffold_281
g4927	1108	scaffold_281
g4928	1067	scaffold_281
g4929	321	scaffold_1053
g4930	223	scaffold_2185
g4931	286	scaffold_2185
g4932	127	scaffold_1210
g4933	324	scaffold_358
g4934	335	scaffold_358
g4935	277	scaffold_358
g4936	649	scaffold_358
g4937	1758	scaffold_358
g4938	2998	scaffold_358
g4939	1945	scaffold_358
g4940	886	scaffold_358
g4941	293	scaffold_358
g4942	403	scaffold_1334
g4943	451	scaffold_622
g4944	946	scaffold_622
g4945	556	scaffold_622
g4946	564	scaffold_622
g4947	1097	scaffold_622
g4948	1523	scaffold_622
g4949	1116	scaffold_622
g4950	1783	scaffold_622
g4951	307	scaffold_1896
g4952	1018	scaffold_176
g4953	537	scaffold_176
g4954	1467	scaffold_176
g4955	5997	scaffold_176
g4956	789	scaffold_176
g4957	572	scaffold_176
g4958	555	scaffold_176
g4959	500	scaffold_176
g4960	558	scaffold_176
g4961	1170	scaffold_176
g4962	2339	scaffold_176
g4963	3130	scaffold_176
g4964	488	scaffold_176
g4965	917	scaffold_176
g4966	692	scaffold_176
g4967	754	scaffold_176
g4968	2383	scaffold_176
g4969	616	scaffold_176
g4970	775	scaffold_176
g4971	1535	scaffold_176
g4972	1296	scaffold_176
g4973	1214	scaffold_176
g4974	1569	scaffold_176
g4975	548	scaffold_176
g4976	584	scaffold_176
g4977	1058	scaffold_176
g4978	300	scaffold_176
g4979	884	scaffold_176
g4980	265	scaffold_176
g4981	627	scaffold_176
g4982	4436	scaffold_176
g4983	389	scaffold_176
g4984	1277	scaffold_176
g4985	202	scaffold_176
g4986	2522	scaffold_176
g4987	1261	scaffold_176
g4988	1216	scaffold_176
g4989	1162	scaffold_176
g4990	1207	scaffold_176
g4991	1207	scaffold_176
g4992	1201	scaffold_176
g4993	1219	scaffold_176
g4994	1234	scaffold_176
g4995	1610	scaffold_176
g4996	1841	scaffold_176
g4997	2988	scaffold_176
g4998	1835	scaffold_176
g4999	1829	scaffold_176
g5000	1841	scaffold_176
g5001	1856	scaffold_176
g5002	1453	scaffold_176
g5003	646	scaffold_176
g5004	1713	scaffold_176
g5005	848	scaffold_678
g5006	369	scaffold_678
g5007	368	scaffold_678
g5008	2291	scaffold_678
g5009	1065	scaffold_678
g5010	264	scaffold_678
g5011	413	scaffold_678
g5012	1680	scaffold_678
g5013	1205	scaffold_678
g5014	1934	scaffold_678
g5015	2224	scaffold_678
g5016	204	scaffold_678
g5017	348	scaffold_678
g5018	330	scaffold_678
g5019	695	scaffold_430
g5020	486	scaffold_430
g5021	707	scaffold_430
g5022	1852	scaffold_430
g5023	490	scaffold_430
g5024	212	scaffold_430
g5025	1181	scaffold_430
g5026	1058	scaffold_430
g5027	2601	scaffold_430
g5028	302	scaffold_155
g5029	3171	scaffold_155
g5030	208	scaffold_155
g5031	290	scaffold_155
g5032	496	scaffold_155
g5033	195	scaffold_155
g5034	3161	scaffold_155
g5035	515	scaffold_155
g5036	1207	scaffold_155
g5037	1064	scaffold_155
g5038	567	scaffold_155
g5039	366	scaffold_155
g5040	555	scaffold_155
g5041	379	scaffold_155
g5042	2033	scaffold_155
g5043	379	scaffold_155
g5044	5585	scaffold_155
g5045	717	scaffold_155
g5046	1370	scaffold_155
g5047	1783	scaffold_155
g5048	1011	scaffold_155
g5049	621	scaffold_155
g5050	2430	scaffold_155
g5051	2092	scaffold_155
g5052	608	scaffold_155
g5053	2274	scaffold_155
g5054	2535	scaffold_155
g5055	914	scaffold_155
g5056	413	scaffold_155
g5057	676	scaffold_155
g5058	1759	scaffold_155
g5059	623	scaffold_155
g5060	2512	scaffold_155
g5061	261	scaffold_155
g5062	485	scaffold_155
g5063	1862	scaffold_155
g5064	1826	scaffold_155
g5065	617	scaffold_155
g5066	970	scaffold_155
g5067	967	scaffold_155
g5068	1121	scaffold_155
g5069	1058	scaffold_155
g5070	449	scaffold_155
g5071	1588	scaffold_619
g5072	302	scaffold_619
g5073	1696	scaffold_619
g5074	1705	scaffold_619
g5075	1603	scaffold_619
g5076	1582	scaffold_619
g5077	1591	scaffold_619
g5078	208	scaffold_619
g5079	635	scaffold_619
g5080	1483	scaffold_619
g5081	1430	scaffold_619
g5082	1097	scaffold_619
g5083	635	scaffold_619
g5084	1351	scaffold_619
g5085	311	scaffold_1865
g5086	704	scaffold_300
g5087	378	scaffold_300
g5088	226	scaffold_300
g5089	439	scaffold_300
g5090	769	scaffold_300
g5091	480	scaffold_300
g5092	2808	scaffold_300
g5093	467	scaffold_300
g5094	1365	scaffold_300
g5095	254	scaffold_300
g5096	910	scaffold_300
g5097	3927	scaffold_300
g5098	201	scaffold_300
g5099	697	scaffold_300
g5100	1136	scaffold_300
g5101	1505	scaffold_300
g5102	616	scaffold_300
g5103	404	scaffold_300
g5104	2647	scaffold_300
g5105	238	scaffold_300
g5106	2120	scaffold_300
g5107	1249	scaffold_300
g5108	211	scaffold_300
g5109	1022	scaffold_300
g5110	200	scaffold_300
g5111	284	scaffold_300
g5112	390	scaffold_300
g5113	2267	scaffold_300
g5114	2044	scaffold_300
g5115	209	scaffold_300
g5116	1812	scaffold_300
g5117	416	scaffold_300
g5118	2857	scaffold_300
g5119	596	scaffold_300
g5120	994	scaffold_300
g5121	691	scaffold_300
g5122	267	scaffold_300
g5123	385	scaffold_300
g5124	6655	scaffold_466
g5125	7604	scaffold_466
g5126	229	scaffold_466
g5127	320	scaffold_466
g5128	365	scaffold_466
g5129	302	scaffold_466
g5130	870	scaffold_466
g5131	2168	scaffold_466
g5132	669	scaffold_466
g5133	924	scaffold_466
g5134	913	scaffold_174
g5135	1919	scaffold_174
g5136	341	scaffold_174
g5137	445	scaffold_174
g5138	344	scaffold_174
g5139	437	scaffold_174
g5140	1740	scaffold_174
g5141	5179	scaffold_174
g5142	1810	scaffold_174
g5143	1819	scaffold_174
g5144	1948	scaffold_174
g5145	1840	scaffold_174
g5146	1837	scaffold_174
g5147	508	scaffold_174
g5148	2514	scaffold_174
g5149	400	scaffold_174
g5150	644	scaffold_174
g5151	302	scaffold_174
g5152	302	scaffold_174
g5153	2966	scaffold_174
g5154	400	scaffold_174
g5155	324	scaffold_174
g5156	2210	scaffold_174
g5157	1319	scaffold_174
g5158	1319	scaffold_174
g5159	1398	scaffold_174
g5160	1661	scaffold_174
g5161	446	scaffold_174
g5162	816	scaffold_174
g5163	1625	scaffold_174
g5164	1343	scaffold_174
g5165	1331	scaffold_174
g5166	806	scaffold_174
g5167	340	scaffold_174
g5168	346	scaffold_174
g5169	93	scaffold_473
g5170	660	scaffold_473
g5171	362	scaffold_473
g5172	255	scaffold_473
g5173	3279	scaffold_473
g5174	233	scaffold_473
g5175	248	scaffold_473
g5176	459	scaffold_473
g5177	3734	scaffold_473
g5178	260	scaffold_473
g5179	1825	scaffold_473
g5180	902	scaffold_473
g5181	1548	scaffold_504
g5182	1149	scaffold_504
g5183	1167	scaffold_504
g5184	1135	scaffold_504
g5185	1259	scaffold_504
g5186	264	scaffold_504
g5187	485	scaffold_504
g5188	1500	scaffold_504
g5189	967	scaffold_504
g5190	662	scaffold_504
g5191	877	scaffold_504
g5192	297	scaffold_504
g5193	506	scaffold_504
g5194	1535	scaffold_504
g5195	539	scaffold_504
g5196	1627	scaffold_504
g5197	452	scaffold_504
g5198	2815	scaffold_504
g5199	445	scaffold_504
g5200	548	scaffold_504
g5201	838	scaffold_504
g5202	2617	scaffold_504
g5203	532	scaffold_504
g5204	938	scaffold_504
g5205	2236	scaffold_955
g5206	464	scaffold_955
g5207	508	scaffold_224
g5208	346	scaffold_224
g5209	693	scaffold_224
g5210	996	scaffold_224
g5211	431	scaffold_224
g5212	914	scaffold_224
g5213	6850	scaffold_224
g5214	2204	scaffold_224
g5215	8306	scaffold_224
g5216	3047	scaffold_224
g5217	3131	scaffold_224
g5218	1461	scaffold_224
g5219	1096	scaffold_224
g5220	2111	scaffold_224
g5221	1766	scaffold_224
g5222	380	scaffold_224
g5223	769	scaffold_224
g5224	2101	scaffold_224
g5225	706	scaffold_224
g5226	1853	scaffold_224
g5227	1723	scaffold_224
g5228	754	scaffold_224
g5229	252	scaffold_224
g5230	594	scaffold_224
g5231	1630	scaffold_1570
g5232	2567	scaffold_2160
g5233	607	scaffold_1224
g5234	208	scaffold_658
g5235	220	scaffold_658
g5236	2968	scaffold_658
g5237	2986	scaffold_658
g5238	230	scaffold_658
g5239	331	scaffold_658
g5240	643	scaffold_658
g5241	481	scaffold_658
g5242	124	scaffold_1296
g5243	293	scaffold_1059
g5244	328	scaffold_1059
g5245	2871	scaffold_910
g5246	445	scaffold_910
g5247	403	scaffold_910
g5248	1116	scaffold_814
g5249	1154	scaffold_814
g5250	3394	scaffold_814
g5251	244	scaffold_814
g5252	802	scaffold_814
g5253	381	scaffold_814
g5254	2003	scaffold_814
g5255	1450	scaffold_317
g5256	802	scaffold_317
g5257	6468	scaffold_317
g5258	3064	scaffold_317
g5259	647	scaffold_317
g5260	544	scaffold_317
g5261	4946	scaffold_317
g5262	1190	scaffold_317
g5263	2048	scaffold_317
g5264	1714	scaffold_317
g5265	2629	scaffold_317
g5266	1544	scaffold_317
g5267	1624	scaffold_317
g5268	1252	scaffold_317
g5269	564	scaffold_317
g5270	815	scaffold_317
g5271	244	scaffold_317
g5272	1241	scaffold_317
g5273	457	scaffold_317
g5274	926	scaffold_317
g5275	1241	scaffold_317
g5276	2606	scaffold_317
g5277	2198	scaffold_317
g5278	1959	scaffold_317
g5279	2063	scaffold_317
g5280	2675	scaffold_317
g5281	478	scaffold_317
g5282	1039	scaffold_317
g5283	7347	scaffold_317
g5284	1553	scaffold_317
g5285	862	scaffold_1073
g5286	414	scaffold_500
g5287	634	scaffold_500
g5288	634	scaffold_500
g5289	634	scaffold_500
g5290	1175	scaffold_500
g5291	785	scaffold_500
g5292	283	scaffold_500
g5293	809	scaffold_500
g5294	1014	scaffold_500
g5295	1294	scaffold_500
g5296	788	scaffold_500
g5297	1790	scaffold_500
g5298	800	scaffold_500
g5299	901	scaffold_500
g5300	855	scaffold_500
g5301	800	scaffold_500
g5302	1160	scaffold_500
g5303	665	scaffold_500
g5304	332	scaffold_500
g5305	1510	scaffold_500
g5306	1193	scaffold_500
g5307	572	scaffold_500
g5308	342	scaffold_500
g5309	398	scaffold_1578
g5310	2794	scaffold_1578
g5311	1420	scaffold_1578
g5312	879	scaffold_1578
g5313	923	scaffold_613
g5314	788	scaffold_613
g5315	815	scaffold_613
g5316	737	scaffold_613
g5317	1241	scaffold_613
g5318	902	scaffold_613
g5319	838	scaffold_613
g5320	3528	scaffold_613
g5321	427	scaffold_613
g5322	806	scaffold_613
g5323	1077	scaffold_613
g5324	881	scaffold_1973
g5325	660	scaffold_325
g5326	1103	scaffold_325
g5327	437	scaffold_325
g5328	385	scaffold_325
g5329	1546	scaffold_325
g5330	226	scaffold_325
g5331	1240	scaffold_325
g5332	583	scaffold_325
g5333	1208	scaffold_325
g5334	252	scaffold_325
g5335	258	scaffold_325
g5336	311	scaffold_325
g5337	3597	scaffold_325
g5338	1090	scaffold_325
g5339	1478	scaffold_325
g5340	1756	scaffold_325
g5341	2892	scaffold_325
g5342	528	scaffold_325
g5343	1520	scaffold_325
g5344	2050	scaffold_325
g5345	444	scaffold_325
g5346	2424	scaffold_325
g5347	909	scaffold_325
g5348	1503	scaffold_325
g5349	2126	scaffold_325
g5350	621	scaffold_325
g5351	845	scaffold_325
g5352	238	scaffold_257
g5353	1307	scaffold_257
g5354	476	scaffold_257
g5355	499	scaffold_257
g5356	600	scaffold_257
g5357	272	scaffold_257
g5358	224	scaffold_257
g5359	658	scaffold_257
g5360	396	scaffold_257
g5361	397	scaffold_257
g5362	323	scaffold_257
g5363	776	scaffold_257
g5364	317	scaffold_257
g5365	1450	scaffold_257
g5366	220	scaffold_257
g5367	487	scaffold_257
g5368	1949	scaffold_841
g5369	1080	scaffold_841
g5370	320	scaffold_841
g5371	854	scaffold_841
g5372	434	scaffold_841
g5373	803	scaffold_841
g5374	277	scaffold_841
g5375	1325	scaffold_223
g5376	1325	scaffold_223
g5377	1328	scaffold_223
g5378	701	scaffold_223
g5379	1258	scaffold_223
g5380	2100	scaffold_223
g5381	317	scaffold_223
g5382	692	scaffold_223
g5383	318	scaffold_223
g5384	948	scaffold_223
g5385	422	scaffold_223
g5386	427	scaffold_223
g5387	706	scaffold_223
g5388	287	scaffold_223
g5389	214	scaffold_223
g5390	482	scaffold_223
g5391	1553	scaffold_223
g5392	709	scaffold_223
g5393	932	scaffold_223
g5394	862	scaffold_223
g5395	846	scaffold_223
g5396	1184	scaffold_223
g5397	271	scaffold_223
g5398	2852	scaffold_223
g5399	197	scaffold_223
g5400	326	scaffold_223
g5401	205	scaffold_223
g5402	1761	scaffold_223
g5403	738	scaffold_223
g5404	1505	scaffold_223
g5405	1090	scaffold_223
g5406	1235	scaffold_223
g5407	448	scaffold_195
g5408	279	scaffold_195
g5409	693	scaffold_195
g5410	568	scaffold_195
g5411	286	scaffold_195
g5412	1075	scaffold_195
g5413	1010	scaffold_195
g5414	446	scaffold_195
g5415	737	scaffold_195
g5416	434	scaffold_195
g5417	1055	scaffold_195
g5418	1370	scaffold_195
g5419	5152	scaffold_195
g5420	5146	scaffold_195
g5421	2050	scaffold_195
g5422	1380	scaffold_195
g5423	1486	scaffold_195
g5424	945	scaffold_195
g5425	456	scaffold_195
g5426	510	scaffold_195
g5427	441	scaffold_195
g5428	3999	scaffold_195
g5429	671	scaffold_195
g5430	3561	scaffold_195
g5431	683	scaffold_195
g5432	286	scaffold_195
g5433	1359	scaffold_195
g5434	359	scaffold_912
g5435	1562	scaffold_912
g5436	1152	scaffold_1322
g5437	969	scaffold_976
g5438	1617	scaffold_648
g5439	668	scaffold_648
g5440	949	scaffold_648
g5441	325	scaffold_648
g5442	3262	scaffold_648
g5443	832	scaffold_648
g5444	4915	scaffold_27
g5445	1037	scaffold_27
g5446	996	scaffold_27
g5447	247	scaffold_27
g5448	2281	scaffold_27
g5449	279	scaffold_27
g5450	371	scaffold_27
g5451	244	scaffold_27
g5452	1694	scaffold_27
g5453	2338	scaffold_27
g5454	419	scaffold_27
g5455	1885	scaffold_27
g5456	350	scaffold_27
g5457	410	scaffold_27
g5458	938	scaffold_27
g5459	661	scaffold_27
g5460	1224	scaffold_27
g5461	741	scaffold_27
g5462	1585	scaffold_27
g5463	1788	scaffold_27
g5464	455	scaffold_27
g5465	1726	scaffold_27
g5466	2215	scaffold_27
g5467	708	scaffold_27
g5468	1286	scaffold_27
g5469	796	scaffold_27
g5470	407	scaffold_27
g5471	436	scaffold_27
g5472	575	scaffold_27
g5473	334	scaffold_27
g5474	1368	scaffold_27
g5475	325	scaffold_27
g5476	462	scaffold_27
g5477	3684	scaffold_27
g5478	829	scaffold_27
g5479	1167	scaffold_27
g5480	683	scaffold_27
g5481	1466	scaffold_27
g5482	394	scaffold_27
g5483	958	scaffold_27
g5484	762	scaffold_27
g5485	287	scaffold_27
g5486	687	scaffold_27
g5487	1355	scaffold_27
g5488	284	scaffold_27
g5489	344	scaffold_27
g5490	1142	scaffold_27
g5491	295	scaffold_27
g5492	1249	scaffold_27
g5493	243	scaffold_27
g5494	870	scaffold_27
g5495	759	scaffold_27
g5496	876	scaffold_27
g5497	1139	scaffold_27
g5498	753	scaffold_27
g5499	705	scaffold_27
g5500	744	scaffold_27
g5501	762	scaffold_27
g5502	1156	scaffold_27
g5503	1595	scaffold_27
g5504	1075	scaffold_27
g5505	419	scaffold_27
g5506	1026	scaffold_27
g5507	947	scaffold_27
g5508	5589	scaffold_27
g5509	209	scaffold_27
g5510	641	scaffold_27
g5511	1355	scaffold_27
g5512	2074	scaffold_27
g5513	1540	scaffold_27
g5514	562	scaffold_27
g5515	210	scaffold_27
g5516	361	scaffold_27
g5517	262	scaffold_27
g5518	229	scaffold_27
g5519	274	scaffold_27
g5520	2911	scaffold_27
g5521	2750	scaffold_27
g5522	1908	scaffold_27
g5523	292	scaffold_27
g5524	3674	scaffold_27
g5525	1304	scaffold_27
g5526	488	scaffold_27
g5527	277	scaffold_27
g5528	377	scaffold_27
g5529	730	scaffold_27
g5530	2952	scaffold_27
g5531	1115	scaffold_27
g5532	1038	scaffold_27
g5533	3856	scaffold_27
g5534	1007	scaffold_452
g5535	1506	scaffold_452
g5536	671	scaffold_452
g5537	500	scaffold_452
g5538	650	scaffold_452
g5539	1435	scaffold_452
g5540	665	scaffold_452
g5541	4783	scaffold_452
g5542	1220	scaffold_452
g5543	687	scaffold_452
g5544	255	scaffold_452
g5545	452	scaffold_452
g5546	2699	scaffold_452
g5547	4703	scaffold_452
g5548	598	scaffold_452
g5549	2787	scaffold_452
g5550	393	scaffold_452
g5551	1231	scaffold_530
g5552	1378	scaffold_530
g5553	1330	scaffold_530
g5554	1195	scaffold_530
g5555	1219	scaffold_530
g5556	1186	scaffold_530
g5557	1216	scaffold_530
g5558	978	scaffold_530
g5559	1339	scaffold_530
g5560	1339	scaffold_530
g5561	1279	scaffold_530
g5562	1225	scaffold_530
g5563	617	scaffold_530
g5564	586	scaffold_530
g5565	1228	scaffold_530
g5566	898	scaffold_530
g5567	1436	scaffold_530
g5568	473	scaffold_530
g5569	612	scaffold_530
g5570	228	scaffold_530
g5571	253	scaffold_530
g5572	986	scaffold_530
g5573	1521	scaffold_530
g5574	1480	scaffold_530
g5575	1150	scaffold_530
g5576	415	scaffold_530
g5577	890	scaffold_530
g5578	1453	scaffold_530
g5579	1542	scaffold_530
g5580	1010	scaffold_1020
g5581	1055	scaffold_1020
g5582	663	scaffold_897
g5583	580	scaffold_1572
g5584	370	scaffold_1572
g5585	416	scaffold_402
g5586	409	scaffold_402
g5587	310	scaffold_402
g5588	340	scaffold_402
g5589	9480	scaffold_402
g5590	1047	scaffold_402
g5591	1751	scaffold_402
g5592	668	scaffold_402
g5593	1895	scaffold_402
g5594	545	scaffold_402
g5595	1013	scaffold_402
g5596	2785	scaffold_402
g5597	671	scaffold_402
g5598	311	scaffold_402
g5599	680	scaffold_402
g5600	2918	scaffold_402
g5601	1892	scaffold_402
g5602	331	scaffold_2120
g5603	352	scaffold_356
g5604	1010	scaffold_356
g5605	827	scaffold_356
g5606	1184	scaffold_356
g5607	1001	scaffold_356
g5608	367	scaffold_356
g5609	1414	scaffold_356
g5610	1342	scaffold_356
g5611	236	scaffold_356
g5612	851	scaffold_356
g5613	2548	scaffold_356
g5614	209	scaffold_356
g5615	211	scaffold_356
g5616	1058	scaffold_356
g5617	851	scaffold_356
g5618	1076	scaffold_356
g5619	667	scaffold_356
g5620	698	scaffold_356
g5621	382	scaffold_356
g5622	3452	scaffold_356
g5623	2558	scaffold_356
g5624	704	scaffold_356
g5625	2402	scaffold_356
g5626	4283	scaffold_356
g5627	1154	scaffold_356
g5628	1061	scaffold_356
g5629	865	scaffold_356
g5630	1631	scaffold_356
g5631	1040	scaffold_356
g5632	487	scaffold_356
g5633	668	scaffold_356
g5634	697	scaffold_356
g5635	2893	scaffold_356
g5636	3212	scaffold_356
g5637	1437	scaffold_356
g5638	1114	scaffold_356
g5639	1269	scaffold_356
g5640	370	scaffold_356
g5641	1130	scaffold_356
g5642	734	scaffold_356
g5643	1109	scaffold_356
g5644	600	scaffold_356
g5645	1300	scaffold_356
g5646	684	scaffold_356
g5647	334	scaffold_356
g5648	1410	scaffold_356
g5649	404	scaffold_1302
g5650	135	scaffold_1956
g5651	2045	scaffold_1013
g5652	1207	scaffold_1013
g5653	2682	scaffold_1013
g5654	1035	scaffold_476
g5655	1047	scaffold_476
g5656	434	scaffold_476
g5657	1128	scaffold_476
g5658	2361	scaffold_476
g5659	1023	scaffold_476
g5660	1337	scaffold_476
g5661	222	scaffold_476
g5662	1307	scaffold_476
g5663	326	scaffold_476
g5664	1750	scaffold_476
g5665	1499	scaffold_476
g5666	3293	scaffold_476
g5667	2869	scaffold_476
g5668	241	scaffold_476
g5669	433	scaffold_555
g5670	2636	scaffold_555
g5671	2120	scaffold_555
g5672	721	scaffold_555
g5673	870	scaffold_555
g5674	876	scaffold_555
g5675	870	scaffold_555
g5676	867	scaffold_555
g5677	867	scaffold_555
g5678	864	scaffold_555
g5679	1809	scaffold_555
g5680	876	scaffold_555
g5681	1319	scaffold_105
g5682	923	scaffold_105
g5683	415	scaffold_105
g5684	1745	scaffold_105
g5685	1581	scaffold_105
g5686	350	scaffold_105
g5687	3976	scaffold_105
g5688	4727	scaffold_105
g5689	2733	scaffold_105
g5690	3756	scaffold_105
g5691	1732	scaffold_105
g5692	1844	scaffold_105
g5693	1191	scaffold_105
g5694	1506	scaffold_105
g5695	1675	scaffold_105
g5696	311	scaffold_105
g5697	398	scaffold_105
g5698	3165	scaffold_105
g5699	1649	scaffold_105
g5700	2528	scaffold_105
g5701	3069	scaffold_105
g5702	2084	scaffold_105
g5703	354	scaffold_105
g5704	1126	scaffold_105
g5705	1191	scaffold_105
g5706	1811	scaffold_105
g5707	1525	scaffold_105
g5708	922	scaffold_105
g5709	1107	scaffold_105
g5710	733	scaffold_105
g5711	1403	scaffold_105
g5712	572	scaffold_105
g5713	3717	scaffold_105
g5714	1942	scaffold_105
g5715	1814	scaffold_105
g5716	2923	scaffold_105
g5717	2032	scaffold_105
g5718	1663	scaffold_105
g5719	1640	scaffold_105
g5720	2155	scaffold_105
g5721	1418	scaffold_105
g5722	1446	scaffold_105
g5723	2248	scaffold_105
g5724	1436	scaffold_105
g5725	3457	scaffold_105
g5726	703	scaffold_105
g5727	1478	scaffold_105
g5728	1072	scaffold_105
g5729	1091	scaffold_105
g5730	3651	scaffold_105
g5731	241	scaffold_105
g5732	2324	scaffold_105
g5733	2032	scaffold_105
g5734	4846	scaffold_105
g5735	986	scaffold_105
g5736	978	scaffold_105
g5737	3487	scaffold_105
g5738	4642	scaffold_105
g5739	4917	scaffold_105
g5740	3964	scaffold_105
g5741	894	scaffold_105
g5742	391	scaffold_610
g5743	226	scaffold_610
g5744	3881	scaffold_610
g5745	1779	scaffold_610
g5746	3092	scaffold_610
g5747	1193	scaffold_610
g5748	488	scaffold_610
g5749	30	scaffold_319
g5750	501	scaffold_319
g5751	487	scaffold_319
g5752	4868	scaffold_319
g5753	1172	scaffold_319
g5754	1278	scaffold_319
g5755	1753	scaffold_319
g5756	3069	scaffold_319
g5757	342	scaffold_319
g5758	345	scaffold_319
g5759	1283	scaffold_319
g5760	4693	scaffold_319
g5761	2346	scaffold_319
g5762	4671	scaffold_319
g5763	836	scaffold_319
g5764	936	scaffold_319
g5765	636	scaffold_319
g5766	705	scaffold_319
g5767	823	scaffold_319
g5768	1789	scaffold_319
